,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
147,2018-06-24,370,0.0,,21.149729729729728,10.1,27.9,1015.9862162162162,52.06216216216216
148,2018-06-25,540,0.0,,21.626851851851853,10.2,27.7,1014.8707407407406,51.61296296296296
149,2018-06-26,545,0.0,,21.786788990825688,11.5,27.8,1014.6093577981651,53.2605504587156
150,2018-06-27,444,0.0,,19.860585585585586,10.8,27.8,1015.2477477477478,57.8490990990991
151,2018-06-28,519,0.0,,22.37341040462428,10.7,27.3,1015.0100192678226,47.48747591522158
152,2018-06-29,479,0.0,,20.649269311064717,10.1,26.6,1015.4281837160752,52.2713987473904
153,2018-06-30,373,0.0,,20.259249329758713,9.7,27.0,1014.4981233243967,55.63270777479893
154,2018-07-01,465,20290.25,43.728987068965516,20.716774193548385,10.0,28.0,1013.4883870967741,58.458064516129035
155,2018-07-02,326,7109.333333333333,21.807770961145195,22.970552147239264,10.6,28.0,1012.4754601226994,50.63496932515337
156,2018-07-03,560,12524.233333333334,22.404710793082888,21.532857142857143,10.9,28.2,1014.0839285714286,53.651785714285715
157,2018-07-04,546,14673.033333333333,26.922996941896024,21.557875457875458,10.1,28.1,1014.0344322344323,50.86446886446886
158,2018-07-05,539,15396.3,28.56456400742115,20.975695732838588,10.1,27.0,1015.3766233766233,49.3469387755102
159,2018-07-06,342,8005.333333333333,23.407407407407405,18.165204678362574,8.7,27.0,1016.6304093567251,56.7953216374269
160,2018-07-07,337,13164.083333333334,39.17881944444444,21.67566765578635,9.7,27.8,1015.5830860534124,50.27002967359051
161,2018-07-08,444,19891.566666666666,44.800825825825825,21.063063063063062,10.5,29.4,1015.2531531531532,59.5945945945946
162,2018-07-09,542,13663.55,25.209501845018448,23.170664206642066,11.2,30.1,1014.7944649446493,54.17343173431734
163,2018-07-10,510,11920.383333333333,23.37330065359477,22.677254901960783,12.2,28.6,1015.0001960784314,54.668627450980395
164,2018-07-11,525,11449.583333333334,21.85034987277354,20.74895238095238,12.3,27.8,1015.8173333333333,61.59428571428571
165,2018-07-12,528,13632.8,25.819696969696967,22.602840909090908,12.7,28.6,1015.9611742424242,57.09280303030303
166,2018-07-13,497,12721.75,25.59708249496982,22.59376257545272,12.7,29.0,1016.2342052313884,54.42655935613682
